team,gsis_id,player_name,pos_rank
ARI,00-0033119,Jacoby Brissett,1
ARI,00-0035289,Gardner Minshew II,2
ARI,00-0041561,Carson Beck,3
ATL,00-0036212,Tua Tagovailoa,1
ATL,00-0039917,Michael Penix Jr.,2
ATL,00-0033662,Cooper Rush,3
ATL,00-0041194,Jack Strand,4
BAL,00-0034796,Lamar Jackson,1
BAL,00-0035993,Tyler Huntley,2
BAL,00-0040981,Joe Fagnano,3
BAL,00-0037327,Skylar Thompson,4
BUF,00-0034857,Josh Allen,1
BUF,00-0034577,Kyle Allen,2
CAR,00-0039150,Bryce Young,1
CAR,00-0038102,Kenny Pickett,2
CAR,00-0041149,Haynes King,3
CHI,00-0039918,Caleb Williams,1
CHI,00-0038416,Tyson Bagent,2
CHI,00-0028986,Case Keenum,3
CIN,00-0036442,Joe Burrow,1
CIN,00-0026158,Joe Flacco,2
CLE,00-0033537,Deshaun Watson,1
CLE,00-0040668,Shedeur Sanders,2
CLE,00-0041092,Taylen Green,3
CLE,00-0040704,Dillon Gabriel,4
DAL,00-0033077,Dak Prescott,1
DAL,00-0037077,Sam Howell,2
DEN,00-0039732,Bo Nix,1
DEN,00-0035264,Jarrett Stidham,2
DEN,00-0036879,Sam Ehlinger,3
DET,00-0033106,Jared Goff,1
DET,00-0033949,Joshua Dobbs,2
GB,00-0036264,Jordan Love,1
GB,00-0028118,Tyrod Taylor,2
HOU,00-0039163,C.J. Stroud,1
HOU,00-0036898,Davis Mills,2
HOU,00-0040211,Graham Mertz,3
IND,00-0035710,Daniel Jones,1
IND,00-0039164,Anthony Richardson Sr.,2
IND,00-0040206,Riley Leonard,3
JAX,00-0036971,Trevor Lawrence,1
JAX,00-0040234,Quinn Ewers,2
JAX,00-0039534,Carter Bradley,3
KC,00-0033873,Patrick Mahomes,1
KC,00-0036945,Justin Fields,2
KC,00-0040906,Garrett Nussmeier,3
LA,00-0026498,Matthew Stafford,1
LA,00-0039107,Stetson Bennett IV,2
LA,00-0041568,Ty Simpson,3
LA,00-0041414,Matthew Caldwell,4
LAC,00-0036355,Justin Herbert,1
LAC,00-0037012,Trey Lance,2
LV,00-0029604,Kirk Cousins,1
LV,00-0041562,Fernando Mendoza,2
LV,00-0038579,Aidan O'Connell,3
MIA,00-0038128,Malik Willis,1
MIA,00-0040014,Kyle McCord,2
MIA,00-0040398,Brady Cook,3
MIN,00-0035228,Kyler Murray,1
MIN,00-0039923,J.J. McCarthy,2
MIN,00-0032950,Carson Wentz,3
NE,00-0039851,Drake Maye,1
NE,00-0038476,Tommy DeVito,2
NE,00-0041123,Behren Morton,3
NO,00-0040743,Tyler Shough,1
NO,00-0039376,Spencer Rattler,2
NO,00-0037013,Zach Wilson,3
NYG,00-0040691,Jaxson Dart,1
NYG,00-0031503,Jameis Winston,2
NYJ,00-0030565,Geno Smith,1
NYJ,00-0041056,Cade Klubnik,2
PHI,00-0036389,Jalen Hurts,1
PHI,00-0027973,Andy Dalton,2
PHI,00-0038400,Tanner McKee,3
PHI,00-0040891,Cole Payton,4
PIT,00-0023459,Aaron Rodgers,1
PIT,00-0034771,Mason Rudolph,2
PIT,00-0040203,Will Howard,3
PIT,00-0041565,Drew Allar,4
SEA,00-0034869,Sam Darnold,1
SEA,00-0035704,Drew Lock,2
SEA,00-0040673,Jalen Milroe,3
SF,00-0037834,Brock Purdy,1
SF,00-0036972,Mac Jones,2
SF,00-0040589,Kurtis Rourke,3
TB,00-0034855,Baker Mayfield,1
TB,00-0041251,Jalon Daniels,2
TEN,00-0040676,Cam Ward,1
TEN,00-0033869,Mitchell Trubisky,2
WAS,00-0039910,Jayden Daniels,1
WAS,00-0032268,Marcus Mariota,2
WAS,00-0041117,Athan Kaliakmanis,3
