team,starting_qb_name,qb_influence_on_rec_td
ARI,Jacoby Brissett,-0.0008399999999999999
ATL,Michael Penix Jr.,-0.00039999999999999996
BAL,Lamar Jackson,0.003654
BUF,Josh Allen,0.0025009999999999998
CAR,Bryce Young,0.001216
CHI,Caleb Williams,0.00012590000000000002
CIN,Joe Burrow,0.003463
CLE,Deshaun Watson,0.000291
DAL,Dak Prescott,-0.000759
DEN,Bo Nix,0.0027619999999999997
DET,Jared Goff,0.003032
GB,Jordan Love,0.002513
HOU,C.J. Stroud,0.002629
IND,Daniel Jones,-0.00068
JAX,Trevor Lawrence,-6.200000000000002e-05
KC,Patrick Mahomes,-0.002027
LA,Matthew Stafford,0.001771
LAC,Justin Herbert,-0.0017699999999999999
LV,Kirk Cousins,0.000106
MIA,Malik Willis,0.000951
MIN,Kyler Murray,-0.000411
NE,Drake Maye,0.003849
NO,Tyler Shough,0.0
NYG,Jameis Winston,-0.000513
NYJ,Geno Smith,-0.0004636
PHI,Jalen Hurts,0.0036230000000000004
PIT,Aaron Rodgers,0.0001939
SEA,Sam Darnold,0.0007194
SF,Brock Purdy,0.0006716
TB,Baker Mayfield,0.003717
TEN,Cam Ward,0.0
WAS,Jayden Daniels,0.0025210000000000002
